Details;Sampleno;Sampling year;Grain size micron;Longitude;Latitude;Elevation;Coordinate method;Collector;Treatmentyears;Laboratorynames;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3t wt%;Fe2O3 wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;Sum wt%;L.o.i. wt%;FeO wt%;Ag ppm;Al %;As ppm;Ba ppm;Be ppm;Bi ppm;Ca %;Cd ppm;Co ppm;Cr ppm;Cu ppm;Fe %;Hf ppm;K %;Li ppm;Mg %;Mn ppm;Mo ppm;Na %;Nb ppm;Ni ppm;P %;Pb ppm;Rb ppm;S %;Sb ppm;Sn ppm;Sr ppm;Ta ppm;Th ppm;Ti %;U ppb;V ppm;W ppm;Zn ppm;Zr ppm;Sc ppm;Y ppm;La ppm;Ce ppm;Au ppb;Br ppm;Cs ppm;Hg ppm;Ir ppb;Se ppm;U ppm;Nd ppm;Sm ppm;Eu ppm;Tb ppm;Yb ppm;Lu ppm;Pd ppb;Pt ppb;Ga ppm;Ge ppm;In ppm;Tl ppm;Pr ppm;Gd ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Mn %;S ppm;Au ppm;Ir ppm;Sn %;Sr %;B ppm;Pd ppm;Pt ppm;Re ppm;Te ppm;Si %;Fe ppm;Cl %;geo_magnetic_anomaly nT;geo_heat_flow mW/m2;geo_depth_to_moho km
Link;100211;1971;0-150;-24.00323;72.2157;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.6884198220027106;;;;1.4471580313422192;0.4471580313422192;;0.4941545940184428;;;2.6053050461411096;;;;;;1.6020599913279623;;;;;;;;-0.3565473235138126;;1.7075701760979363;;1.8195439355418688;;;;;;;;;;;;0.505149978319906;;;;;;;;;0.8450980400142568;;;;;;;;;;;;;;;;;;;;;;;;-210.2696075439453;46.35755;22.4
Link;100212;1971;0-150;-23.98003;72.23002;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.7767011839884109;;;;1.3979400086720377;0.45939248775923086;;0.4653828514484183;;;2.649334858712142;;;;;;1.7075701760979363;;;;;;;;-0.2006594505464183;;1.7558748556724915;;1.806179973983887;;;;;;;;;;;;0.8260748027008264;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;-201.92494201660156;46.35755;22.4
Link;100213;1971;0-150;-24.21888;72.1712;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.03151705144606486;;;1.146128035678238;1.3010299956639813;0.6242820958356683;;0.5301996982030822;;;2.6910814921229687;;;;0.6020599913279624;;1.6232492903979006;;;;;;;;-0.1549019599857432;;1.8195439355418688;;1.968482948553935;;;;;;;;;;;;0.6434526764861874;;;;;;;;;1.3010299956639813;;;;;;;;;;;;;;;;;;;;;;;;-207.6385040283203;46.35755;23.1
Link;100214;1971;0-150;-24.20987;72.17186;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.017728766960431602;;;;1.0791812460476249;0.5314789170422551;;0.44560420327359757;;;2.6693168805661123;;;;;;1.6020599913279623;;;;;;;;-0.18708664335714442;;1.3222192947339193;;1.8260748027008264;;;;;;;;;;;;0.47712125471966244;;;;;;;;;0.9030899869919435;;;;;;;;;;;;;;;;;;;;;;;;-205.2322235107422;46.35755;23.1
Link;100215;1971;0-150;-24.20241;72.1729;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.05551732784983137;;;;1.0;0.5314789170422551;;0.5477747053878226;;;2.622214022966295;;;;0.6020599913279624;;1.5440680443502757;;;;;;;;-0.2596373105057561;;1.0413926851582251;;1.8976270912904414;;;;;;;;;;;;0.414973347970818;;;;;;;;;1.1139433523068367;;;;;;;;;;;;;;;;;;;;;;;;-204.01268005371094;46.35755;23.1
Link;100216;1971;0-150;-24.19755;72.17304;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.09691001300805639;;;0.9542425094393249;1.3010299956639813;0.6711728427150833;;0.46982201597816303;;;2.7573960287930244;;;;1.0413926851582251;;1.7481880270062005;;;;;;;;-0.2006594505464183;;1.4471580313422192;;2.0530784434834195;;;;;;;;;;;;0.6334684555795865;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-204.01268005371094;46.35755;23.1
Link;100217;1971;0-150;-24.18836;72.17391;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.17318626841227402;;;2.0755469613925306;1.5440680443502757;0.5809249756756193;;0.41830129131974547;;;2.8102325179950842;;;;;;1.662757831681574;;;;;;;;0.09342168516223506;;1.7708520116421442;;1.8512583487190752;;;;;;;;;;;;1.255272505103306;;;;;;;;;1.414973347970818;;;;;;;;;;;;;;;;;;;;;;;;-203.77664184570312;46.35755;23.1
Link;100218;1971;0-150;-24.16215;72.17576;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.08990511143939793;;;;1.1139433523068367;0.5440680443502757;;0.42160392686983106;;;2.733999286538387;;;;;;1.591064607026499;;;;;;;;-0.14874165128092473;;1.414973347970818;;1.806179973983887;;;;;;;;;;;;0.9542425094393249;;;;;;;;;0.8450980400142568;;;;;;;;;;;;;;;;;;;;;;;;-207.18336486816406;46.35755;22.9
Link;100219;1971;0-150;-24.1425;72.17627;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.05060999335508721;;;;1.2787536009528289;0.5763413502057929;;0.5378190950732742;;;2.7193312869837265;;;;;;1.6334684555795864;;;;;;;;-0.2006594505464183;;1.5185139398778875;;1.9294189257142926;;;;;;;;;;;;0.6989700043360189;;;;;;;;;1.2304489213782739;;;;;;;;;;;;;;;;;;;;;;;;-209.88775634765625;46.35755;22.9
Link;100220;1971;0-150;-24.12981;72.17777;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.0;;;;1.146128035678238;0.534026106056135;;0.4899584794248346;;;2.6424645202421213;;;;;;1.5797835966168101;;;;;;;;-0.21467016498923297;;1.4771212547196624;;1.8750612633917;;;;;;;;;;;;0.5563025007672873;;;;;;;;;0.9542425094393249;;;;;;;;;;;;;;;;;;;;;;;;-211.39901733398438;46.35755;22.9
