Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%.1;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
283331;1985.0;;Link;Garde, Adam A.;7;-50.972318;64.700165;GEUS Rock Geochemical lab;;NAF;AAS;1.795184589682424;-0.20760831050174613;1.2065560440990295;;0.15228834438305647;0.6063813651106049;-1.0;0.48713837547718647;0.7427251313046983;0.6222140229662954;0.13987908640123647;-0.6989700043360187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287110;1979.0;;Link;Tukiainen, Tapani;22;-45.48473;61.11172;Risø National Laboratory;1999.0;NON;XCD;;-0.08092190762392612;;0.6434526764861874;;;-1.2218487496163564;;0.07188200730612536;;0.8061799739838872;;;;;;;;;1.662757831681574;;;1.0413926851582251;1.1760912590556813;1.954242509439325;1.380211241711606;;;;;2.2576785748691846;2.2528530309798933;1.863322860120456;3.3140779917792127;1.5314789170422551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5314789170422551;;1.0863598306747482;0.7923916894982538
328185;1986.0;;Link;Marker, Mogens K.;7;-51.74963;64.929491;GEUS Rock Geochemical lab;;NAF;AAS;1.9215824403934165;-1.0457574905606752;0.32014628611105395;;-0.1804560644581313;0.9222062774390164;-1.6989700043360187;-0.7958800173440752;-0.08092190762392612;-0.2924298239020636;-1.0457574905606752;-1.3979400086720375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329072;1983.0;;Link;Appel, Peter;59;-51.619242;64.154835;Copenhagen University Geology;1992.0;PWD;XRF;1.675136504467994;-0.744727494896694;0.829303772831025;1.1398790864012365;-0.27572413039921095;0.9938769149412112;-0.619788758288394;1.0102999566398119;1.2229764498933913;-0.21467016498923297;-0.6882461389442457;-0.5228787452803376;;;;;;;;;2.3909351071033793;;2.8943160626844384;2.2355284469075487;2.9647309210536292;2.0211892990699383;;;;;1.6020599913279623;1.7403626894942439;0.9030899869919435;;0.6020599913279624;1.2174839442139063;;;;;;;0.3010299956639812;;;;;;;;;;;;;;;;;;;;;;4.309630167425898;;;;;;;;2.53655844257153;;;-1.0
329996;1987.0;;Link;Appel, Peter;7;-49.975012;64.729421;GEUS Rock Geochemical lab;1990.0;NAF;AAS;1.5871494982543437;0.1643528557844371;0.615950051656401;;1.0107238653917732;0.8561244442423003;-0.5228787452803376;1.2920344359947364;1.0338256939533104;-0.958607314841775;-0.37675070960209955;-1.154901959985743;;;;;;;;2.1789769472931693;3.0195316845312554;;3.0881360887005513;;2.0791812460476247;;;;;;1.6334684555795864;2.968015713993642;;;;;;;;;;;;;;;;2.383815365980431;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339552;1987.0;;Link;Garde, Adam A.;10;-51.971603;64.732315;Activation Laboratories Ltd.;1991.0;NON;INAA;1.8584168777234884;-0.2924298239020636;1.1755118133634477;0.3654879848908996;;0.28103336724772754;-1.3979400086720375;-0.08618614761628333;0.6117233080073418;0.60422605308447;-0.42021640338318983;-1.0;;;;;;;0.414973347970818;;;1.6720978579357175;;;;;;;;;;2.6989700043360187;;;;;;;;;;;;;;;;2.4771212547196626;0.9542425094393249;1.146128035678238;;0.9030899869919435;-0.2218487496163564;-0.2218487496163564;;;;;;;;-1.0;0.6989700043360189;;2.568201724066995;;;;;;;;;;;
70005;1963.0;;Link;Kalsbeek, Feiko;9;-49.25999;61.54788;Copenhagen University Geology;1993.0;PWD;XRF;1.684755622108624;0.5910646070264992;1.1156105116742998;;0.6910814921229684;1.0043213737826426;-0.638272163982407;0.6344772701607315;0.9375178920173467;0.47712125471966244;0.2013971243204515;-0.1804560644581313;;;;;;;1.3979400086720377;2.4983794839511457;1.1271047983648077;1.6334684555795864;1.290034611362518;1.8182258936139555;2.1836968086346804;1.414973347970818;;;;;1.8573324964312685;2.6267508536833932;1.7151673578484579;2.5921212174658845;1.8987251815894934;;;;;;;;;;;;;2.7035922700368014;1.7944880466591695;2.0958664534785427;;1.8027737252919758;;;;;;;;;;;;;;;;;;;;;0.9084850188786497;;0.7781512503836436;
293575;1982.0;;Link;Appel, Peter;59;-51.652089;63.782612;Copenhagen University Geology;1992.0;PWD;XRF;1.893484346218486;-0.7825160557860937;0.08278537031645007;0.8543060418010806;-0.3467874862246563;0.7693773260761385;-1.4559319556497243;1.0417873189717517;-1.0;-0.8239087409443188;-2.0;-2.0;;;;;;;;1.1760912590556813;1.2787536009528289;1.1760912590556813;;1.146128035678238;2.254064452914338;1.3117538610557542;;;;;;;1.6532125137753437;2.6201360549737576;1.414973347970818;2.041392685158225;;;;;;;1.5563025007672873;;;;;0.0;;;;;;;;;;;;;;;;;1.2041199826559248;;;;;;;;0.6020599913279624;;;-0.045757490560675115
341445;1987.0;;Link;Knudsen, Christian;55;-50.10885;69.733034;Bondar-Clegg and Co. Ltd.;1991.0;NON;INAA;;;;0.9547247909790629;;;;;;-0.09691001300805639;;;;;;;;;0.8633228601204559;;;1.863322860120456;;;2.4771212547196626;;;2.5550944485783194;;;1.8750612633917;;;;;0.3010299956639812;;;;1.3617278360175928;;;;0.146128035678238;;;;2.322219294733919;1.662757831681574;1.8325089127062364;;;0.9637878273455552;;;0.3010299956639812;;;;;;-0.3010299956639812;0.47712125471966244;;1.845098040014257;;;;;3.53655844257153;;;;;0.505149978319906;-0.2218487496163564
287207;1979.0;;Link;Tukiainen, Tapani;22;-44.77951;60.44864;Risø National Laboratory;1999.0;NON;XCD;;-0.4814860601221125;;0.3010299956639812;;;-1.3010299956639813;;0.3159703454569177;;0.919078092376074;;;;;;;;;;;;1.4913616938342726;1.3222192947339193;1.8750612633917;1.3617278360175928;;;;;2.705007959333336;2.387389826338729;1.9030899869919435;2.4608978427565478;1.6434526764861874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0755469613925306;;1.359835482339888;2.2007137339640135
