Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
283331;1985;;Link;Garde, Adam A.;7;-50.972318;64.700165;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.19;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283331;1985;;Link;Garde, Adam A.;7;-50.972318;64.700165;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;4.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283331;1985;;Link;Garde, Adam A.;7;-50.972318;64.700165;GEUS Rock Geochemical lab;;NAF;XRF;62.4;0.62;16.09;;1.42;;0.1;3.07;5.53;;1.38;0.2;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283331;1985;;Link;Garde, Adam A.;7;-50.972318;64.700165;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287110;1979;;Link;Tukiainen, Tapani;22;-45.48473;61.11172;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181;179;73;2061;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287110;1979;;Link;Tukiainen, Tapani;21;-45.48473;61.11172;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3
287110;1979;;Link;Tukiainen, Tapani;20;-45.48473;61.11172;Risø National Laboratory;1999;NON;GAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.2;8.1
287110;1979;;Link;Tukiainen, Tapani;18;-45.48473;61.11172;Risø National Laboratory;1999;NON;XPU;;0.83;;4.4;;;0.06;;1.18;;6.4;;;;;;;;;46;0;;11;15;90;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;
328185;1986;;Link;Marker, Mogens K.;7;-51.74963;64.929491;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.51;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328185;1986;;Link;Marker, Mogens K.;7;-51.74963;64.929491;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;8.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328185;1986;;Link;Marker, Mogens K.;7;-51.74963;64.929491;GEUS Rock Geochemical lab;;NAF;XRF;83.48;0.09;2.09;;0.66;;0.02;0.16;0.83;;0.09;0.04;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328185;1986;;Link;Marker, Mogens K.;7;-51.74963;64.929491;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
