;Whole Rock;Whole Rock;Whole Rock;Stream Sediment;Stream Sediment;Stream Sediment
;R2;delta;sigma;R2;delta;sigma
Chemistry;0.7983;0.0;0.0;0.8676;0.0;0.0
Geophysics;0.3228;-0.4755;-26.3708;0.5253;-0.3423;-24.9392
Coordinates;0.3484;-0.4499;-24.9507;0.5994;-0.2682;-19.5411
Neighbours;0.3246;-0.4737;-26.2732;0.6086;-0.259;-18.8694
Chemistry + Geophysics;0.8059;0.0075;0.4183;0.8739;0.0063;0.4575
Chemistry + Coordinates;0.8063;0.008;0.4445;0.8775;0.0099;0.7218
Geophysics + Coordinates;0.3546;-0.4437;-24.6081;0.6017;-0.2659;-19.3727
KNN A;0.8043;0.0059;0.3294;0.8757;0.0081;0.5906
KNN B;0.805;0.0066;0.3685;0.8724;0.0048;0.3495
KNN C;0.8132;0.0149;0.8239;0.8801;0.0125;0.9127
KNN D;0.7982;-0.0001;-0.0051;0.8659;-0.0017;-0.1214
