element;coverage;baseline;fold_std;+neighbours;+geophysics;companion;companion_spearman;n_partners_over_0.8
SiO2 wt%;10427;0.9852;0.0053;-0.001;-0.0001;S ppm;-0.9167;1
TiO2 wt%;10427;0.9298;0.0117;0.0083;0.0013;Fe2O3t wt%;0.8536;2
Al2O3 wt%;10427;0.975;0.0048;-0.0002;0.0002;W ppm;-0.6189;0
Fe2O3t wt%;1330;0.9617;0.0174;0.0025;0.0012;Fe %;0.9761;8
Fe2O3 wt%;9096;0.9582;0.0108;0.0026;0.0005;Fe %;0.9267;1
MnO wt%;9584;0.9108;0.008;0.0029;0.0027;Mn %;0.974;3
MgO wt%;10427;0.9449;0.005;0.0016;0.0014;Mg %;0.9217;1
CaO wt%;10421;0.9666;0.0024;-0.0001;0.0005;S ppm;0.8483;2
Na2O wt%;10403;0.9716;0.0021;0.0004;0.0006;Na %;0.8725;1
K2O wt%;10426;0.94;0.0018;0.0083;0.003;K %;0.7953;0
P2O5 wt%;10423;0.8977;0.0054;0.0066;0.0012;P %;0.8962;1
Sum wt%;10427;0.9868;0.0039;-0.0084;0.0;W ppm;-0.703;0
L.o.i. wt%;9258;0.9189;0.0096;0.0045;0.0033;S ppm;0.9037;1
Ag ppm;2401;0.9;0.0184;0.0056;0.002;Cd ppm;0.8059;2
Al %;4041;0.9682;0.004;-0.0004;0.0016;Be ppm;0.8605;1
As ppm;6873;0.6069;0.0191;0.0599;0.013;Li ppm;0.4688;0
Ba ppm;14657;0.7827;0.013;0.0177;0.011;Be ppm;0.7013;0
Be ppm;1722;0.9012;0.0036;0.0132;0.0014;Al %;0.8605;2
Ca %;13354;0.8151;0.0111;0.0307;0.0144;Fe2O3t wt%;-0.8713;2
Cd ppm;1750;0.9319;0.0131;0.0048;0.0022;Ag ppm;0.8059;1
Co ppm;13979;0.8846;0.0075;0.0067;0.0041;Fe ppm;0.8373;2
Cr ppm;14566;0.7904;0.0102;0.0121;0.0013;Ni ppm;0.6887;0
Cu ppm;14736;0.8173;0.0095;0.0162;0.0065;Co ppm;0.7094;0
Fe %;14206;0.9444;0.004;0.0013;0.001;Fe2O3t wt%;0.9761;2
Hf ppm;13118;0.9241;0.0108;0.0055;0.0015;Zr ppm;0.862;2
K %;10393;0.8927;0.0067;0.0117;0.0039;K2O wt%;0.7953;0
Mg %;4041;0.9607;0.0072;0.0003;0.0009;MgO wt%;0.9217;1
Mn ppm;8418;0.8873;0.0099;0.0149;0.0069;Mn %;0.9138;3
Mo ppm;4176;0.7751;0.0224;0.0149;0.0088;Se ppm;0.7841;0
Na %;11692;0.9264;0.0054;0.0182;0.0085;Na2O wt%;0.8725;1
Nb ppm;8743;0.8854;0.007;0.0239;0.0101;Ta ppm;0.8006;1
Ni ppm;13323;0.7428;0.008;0.014;0.0023;Co ppm;0.6965;0
P %;4041;0.8937;0.0097;0.0084;0.0024;P2O5 wt%;0.8962;1
Pb ppm;12527;0.6411;0.0185;0.0343;0.0088;Se ppm;0.6498;0
Rb ppm;14693;0.8734;0.0086;0.0086;0.0033;K2O wt%;0.7035;0
S %;3502;0.6716;0.0245;0.0174;0.0113;Hg ppm;0.5174;0
Sb ppm;6033;0.6612;0.0157;0.0406;0.0105;Sn ppm;0.717;0
Sn ppm;1739;0.8946;0.0265;0.0034;0.0032;Ag ppm;0.7772;0
Sr ppm;14389;0.8402;0.0127;0.0275;0.0111;Na %;0.7061;0
Ta ppm;3861;0.6945;0.0448;-0.0072;-0.0058;Nb ppm;0.8006;1
Th ppm;13121;0.9007;0.0036;0.015;0.0039;Ce ppm;0.7521;0
Ti %;10404;0.893;0.0085;0.0092;0.0084;Fe2O3t wt%;0.9013;2
V ppm;14078;0.6799;0.0123;0.0012;-0.0015;Fe2O3t wt%;0.8989;1
W ppm;2492;0.9174;0.0101;0.0063;0.0018;Na2O wt%;-0.7918;0
Zn ppm;16123;0.7812;0.0078;0.0298;0.0131;Fe %;0.7139;0
Zr ppm;12400;0.8633;0.0176;0.0021;0.0051;Hf ppm;0.862;2
Sc ppm;13282;0.9255;0.0074;0.0124;0.0036;Fe2O3t wt%;0.842;1
Y ppm;11857;0.8931;0.0055;0.0;0.0009;Er ppm;0.9897;5
La ppm;13300;0.9703;0.0038;0.0028;0.0012;Pr ppm;0.9859;4
Ce ppm;13213;0.9691;0.0024;0.0018;0.0006;Pr ppm;0.9866;5
Au ppb;2551;0.1281;0.0614;0.0204;0.0097;Fe ppm;0.3072;0
Br ppm;9973;0.7729;0.0069;0.0434;0.0242;S ppm;0.6212;0
Cs ppm;6748;0.7581;0.0139;0.0313;0.0093;Li ppm;0.757;0
U ppm;14831;0.5937;0.033;0.2205;0.187;Tm ppm;0.6027;0
Nd ppm;12345;0.9646;0.0016;0.0007;0.0003;Pr ppm;0.9903;5
Sm ppm;13099;0.9735;0.0045;0.0012;0.0004;Nd ppm;0.9481;6
Eu ppm;12425;0.9041;0.0048;0.0117;0.0035;Sm ppm;0.8269;2
Tb ppm;6395;0.8644;0.0106;0.0021;0.0006;Dy ppm;0.9809;5
Yb ppm;12469;0.9547;0.0062;0.0035;0.0011;Er ppm;0.9874;5
Lu ppm;12402;0.9056;0.0066;0.0056;0.0021;Er ppm;0.9806;5
Ga ppm;10497;0.7769;0.0189;0.0117;0.0086;Ge ppm;0.7091;0
Ge ppm;1372;0.9866;0.0039;-0.0001;0.0;Sn ppm;0.7668;0
Tl ppm;1530;0.8222;0.0102;0.0083;-0.0006;Li ppm;0.7576;0
Pr ppm;1402;0.9447;0.0801;0.0009;0.0003;Nd ppm;0.9903;5
Gd ppm;1401;0.976;0.0135;-0.0009;-0.0006;Tb ppm;0.9565;11
Dy ppm;1401;0.9746;0.0198;-0.0001;-0.0002;Ho ppm;0.9919;8
Ho ppm;1394;0.9726;0.0261;-0.0007;-0.0002;Er ppm;0.9926;8
Er ppm;1400;0.9795;0.0221;-0.0006;-0.0002;Ho ppm;0.9926;8
Tm ppm;1396;0.9734;0.0146;-0.0018;0.0001;Yb ppm;0.9862;8
Mn %;2118;0.9343;0.0181;0.0022;0.0022;MnO wt%;0.974;3
Cl %;1125;0.7903;0.0787;0.0173;-0.0004;Lu ppm;-0.7188;0
