element;coverage;baseline;fold_std;+neighbours;+geophysics;companion;companion_spearman;n_partners_over_0.8
SiO2 wt%;3817;0.902;0.0229;0.0024;-0.0021;C wt%;-0.9248;2
TiO2 wt%;6309;0.8661;0.0073;0.0061;0.0039;V ppm;0.7402;0
Al2O3 wt%;5563;0.9047;0.0167;0.0063;0.0013;Na2O wt%;0.6735;0
Fe2O3 wt%;5082;0.8643;0.0113;0.0026;0.0026;FeO wt%;0.927;1
Fe2O3 wt%.1;3646;0.8154;0.0131;0.0098;0.0125;Fe2O3 wt%;0.7024;0
FeO wt%;2490;0.8858;0.0264;0.005;0.0021;Fe2O3 wt%;0.927;1
MnO wt%;6362;0.8391;0.0123;0.0125;0.0049;SiO2 wt%;-0.7416;0
MgO wt%;5545;0.8982;0.0163;0.0036;0.0042;SiO2 wt%;-0.8048;1
CaO wt%;6580;0.8383;0.0101;0.0066;0.0047;C wt%;0.9152;1
Na2O wt%;5993;0.8292;0.0103;0.0082;0.0037;Al2O3 wt%;0.6735;0
K2O wt%;6221;0.8356;0.0075;0.0121;0.0066;Rb ppm;0.7836;0
P2O5 wt%;5379;0.7295;0.036;0.0114;0.0021;Pr ppm;0.8479;1
S ppm;1304;0.6706;0.0429;0.0405;0.0267;Cu ppm;0.6519;0
Sc ppm;4449;0.8849;0.0106;0.0029;0.0038;V ppm;0.8382;1
V ppm;4871;0.8434;0.0067;0.0016;0.004;Sc ppm;0.8382;1
Cr ppm;5488;0.8276;0.0095;0.0085;0.0031;Ni ppm;0.7991;0
Co ppm;4378;0.8362;0.0147;0.0041;0.0014;Ni ppm;0.6757;0
Ni ppm;5526;0.8479;0.0166;0.011;0.005;Cr ppm;0.7991;0
Cu ppm;4991;0.6497;0.0181;0.0262;0.0145;S ppm;0.6519;0
Zn ppm;5947;0.7359;0.0075;0.0161;0.0072;Fe2O3 wt%;0.5935;0
Ga ppm;2085;0.7986;0.0187;0.0051;0.0032;Mo ppm;0.6183;0
As ppm;2355;0.53;0.0191;0.0959;0.0373;Sb ppm;0.5067;0
Rb ppm;4484;0.7578;0.018;0.0234;0.0087;K2O wt%;0.7836;0
Sr ppm;5591;0.7969;0.0159;0.0175;0.0085;C wt%;0.8916;2
Y ppm;4109;0.8677;0.0158;0.0085;0.0038;Ho ppm;0.9877;4
Zr ppm;3502;0.7694;0.0175;0.0092;0.0042;Hf ppm;0.8597;1
Nb ppm;1978;0.8612;0.0087;0.0163;0.0084;Ta ppm;0.8036;1
Mo ppm;1975;0.6008;0.0229;0.0146;0.0113;Pr ppm;-0.6205;0
Ag ppm;1236;0.7616;0.0185;0.0163;0.0113;Sn ppm;0.616;0
Cd ppm;1008;0.7726;0.0337;0.013;-0.0031;Pr ppm;-0.5085;0
Sb ppm;2102;0.5477;0.0461;0.0704;0.0191;As ppm;0.5067;0
Cs ppm;1750;0.5689;0.0137;0.0476;0.027;Tl ppm;0.6556;0
Ba ppm;4491;0.755;0.0219;0.0172;0.0082;K2O wt%;0.7329;0
La ppm;4188;0.9514;0.0033;0.0027;0.0011;Pr ppm;0.9863;5
Ce ppm;3693;0.9769;0.0037;0.0007;0.0006;Pr ppm;0.9952;5
Nd ppm;2936;0.9507;0.0055;-0.0009;0.0002;Pr ppm;0.9945;5
Sm ppm;3764;0.9488;0.0019;0.0004;0.0009;Pr ppm;0.9651;7
Eu ppm;3296;0.8784;0.0112;0.0076;0.0035;Gd ppm;0.9362;4
Tb ppm;1515;0.8837;0.0185;-0.0018;0.0007;Dy ppm;0.9628;4
Yb ppm;3396;0.9308;0.0068;-0.0016;0.0012;Tm ppm;0.9626;5
Lu ppm;3228;0.8961;0.0112;0.004;0.0022;Yb ppm;0.9483;4
Hf ppm;3217;0.747;0.0104;0.0002;0.0038;Zr ppm;0.8597;2
Ta ppm;1225;0.7752;0.0244;-0.0035;0.0042;Nb ppm;0.8036;1
W ppm;1815;0.772;0.0247;0.0055;0.0002;Br ppm;0.6008;0
Au ppb;2389;0.4894;0.0547;0.0921;0.0458;Pr ppm;-0.4953;0
Pb ppm;3429;0.6787;0.0376;0.0267;0.0088;Rb ppm;0.4448;0
Th ppm;3949;0.7882;0.028;0.0119;0.012;Pr ppm;0.8211;1
U ppm;3227;0.7591;0.0361;0.0166;0.017;Pr ppm;0.7157;0
